Catégorie : Toutes catégories

Mois,Dogecoin: (Dans tous les pays)
2014-01,4
2014-02,4
2014-03,2
2014-04,2
2014-05,2
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,< 1
2015-03,< 1
2015-04,< 1
2015-05,< 1
2015-06,< 1
2015-07,< 1
2015-08,< 1
2015-09,< 1
2015-10,< 1
2015-11,< 1
2015-12,< 1
2016-01,< 1
2016-02,< 1
2016-03,< 1
2016-04,< 1
2016-05,< 1
2016-06,< 1
2016-07,< 1
2016-08,< 1
2016-09,< 1
2016-10,< 1
2016-11,< 1
2016-12,< 1
2017-01,< 1
2017-02,< 1
2017-03,< 1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,4
2018-01,5
2018-02,2
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,2
2018-10,1
2018-11,1
2018-12,1
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,1
2020-06,1
2020-07,2
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,2
2021-01,29
2021-02,46
2021-03,12
2021-04,69
2021-05,100
2021-06,25
2021-07,14
2021-08,14
2021-09,9
2021-10,11
